--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
124     buf += ret;                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 67, 'vulberta_mlp': 30}
126     buflen -= ret;                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 21, 'vulberta_mlp': 29}
128     memset(buf, 0, buflen);                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 76, 'vulberta_mlp': 15}
132     /* Preserve any unknown field in the header */                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
134     if (s->unknown_header_fields_size) {                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 98, 'vulberta_mlp': 5}
136         if (buflen < s->unknown_header_fields_size) {                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 18, 'vulberta_mlp': 54}
138             ret = -ENOSPC;                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 77, 'vulberta_mlp': 36}
140             goto fail;                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 32, 'vulberta_mlp': 101}
142         }                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 38, 'vulberta_mlp': 100}
146         memcpy(buf, s->unknown_header_fields, s->unknown_header_fields_size);              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 22, 'vulberta_mlp': 48}
148         buf += s->unknown_header_fields_size;                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 53, 'vulberta_mlp': 99}
150         buflen -= s->unknown_header_fields_size;                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 60, 'vulberta_mlp': 98}
152     }                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 50, 'vulberta_mlp': 97}
156     /* Backing file format header extension */                                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
158     if (*bs->backing_format) {                                                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 47, 'vulberta_mlp': 96}
160         ret = header_ext_add(buf, QCOW2_EXT_MAGIC_BACKING_FORMAT,                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 61, 'vulberta_mlp': 95}
162                              bs->backing_format, strlen(bs->backing_format),               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 2, 'vulberta_mlp': 94}
164                              buflen);                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 72, 'vulberta_mlp': 93}
166         if (ret < 0) {                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 92, 'vulberta_mlp': 92}
168             goto fail;                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 36, 'vulberta_mlp': 91}
170         }                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 44, 'vulberta_mlp': 90}
174         buf += ret;                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 14, 'vulberta_mlp': 10}
176         buflen -= ret;                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 81, 'vulberta_mlp': 28}
178     }                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 58, 'vulberta_mlp': 89}
182     /* Feature table */                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
184     Qcow2Feature features[] = {                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 89, 'vulberta_mlp': 88}
186         /* no feature defined yet */                                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
188     };                                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 35, 'vulberta_mlp': 87}
192     ret = header_ext_add(buf, QCOW2_EXT_MAGIC_FEATURE_TABLE,                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 7, 'vulberta_mlp': 86}
194                          features, sizeof(features), buflen);                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 90, 'vulberta_mlp': 35}
196     if (ret < 0) {                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 45, 'vulberta_mlp': 85}
198         goto fail;                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 8, 'vulberta_mlp': 84}
200     }                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 65, 'vulberta_mlp': 83}
202     buf += ret;                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 94, 'vulberta_mlp': 27}
204     buflen -= ret;                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 104, 'vulberta_mlp': 82}
208     /* Keep unknown header extensions */                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
210     QLIST_FOREACH(uext, &s->unknown_header_ext, next) {                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 82, 'vulberta_mlp': 81}
212         ret = header_ext_add(buf, uext->magic, uext->data, uext->len, buflen);             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 106, 'vulberta_mlp': 80}
214         if (ret < 0) {                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 73, 'vulberta_mlp': 79}
216             goto fail;                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 37, 'vulberta_mlp': 78}
218         }                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 63, 'vulberta_mlp': 77}
222         buf += ret;                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 84, 'vulberta_mlp': 76}
224         buflen -= ret;                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 86, 'vulberta_mlp': 26}
226     }                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 49, 'vulberta_mlp': 75}
230     /* End of header extensions */                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
232     ret = header_ext_add(buf, QCOW2_EXT_MAGIC_END, NULL, 0, buflen);                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 40, 'vulberta_mlp': 38}
234     if (ret < 0) {                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 24, 'vulberta_mlp': 74}
236         goto fail;                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 25, 'vulberta_mlp': 73}
238     }                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 99, 'vulberta_mlp': 72}
242     buf += ret;                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 33, 'vulberta_mlp': 71}
244     buflen -= ret;                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 69, 'vulberta_mlp': 70}
248     /* Backing file name */                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
250     if (*bs->backing_file) {                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 112, 'vulberta_mlp': 20}
252         size_t backing_file_len = strlen(bs->backing_file);                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 46, 'vulberta_mlp': 69}
256         if (buflen < backing_file_len) {                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 0, 'vulberta_mlp': 68}
258             ret = -ENOSPC;                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 100, 'vulberta_mlp': 67}
260             goto fail;                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 42, 'vulberta_mlp': 66}
262         }                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 62, 'vulberta_mlp': 65}
266         strncpy(buf, bs->backing_file, buflen);                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 55, 'vulberta_mlp': 53}
270         header->backing_file_offset = cpu_to_be64(buf - ((char*) header));                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 3, 'vulberta_mlp': 41}
272         header->backing_file_size   = cpu_to_be32(backing_file_len);                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 11, 'vulberta_mlp': 55}
274     }                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 68, 'vulberta_mlp': 64}
278     /* Write the new header */                                                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
280     ret = bdrv_pwrite(bs->file, 0, header, s->cluster_size);                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 4, 'vulberta_mlp': 44}
282     if (ret < 0) {                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 12, 'vulberta_mlp': 43}
284         goto fail;                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 96, 'vulberta_mlp': 63}
286     }                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 30, 'vulberta_mlp': 62}
290     ret = 0;                                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 1, 'vulberta_mlp': 61}
292 fail:                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 74, 'vulberta_mlp': 60}
294     qemu_vfree(header);                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 39, 'vulberta_mlp': 42}
